ID,SAVETIME,USERIP,IP_INBPS,IP_OUTBPS,TCP_INBPS,TCP_OUTBPS,UDP_INBPS,UDP_OUTBPS,TCP_FLOWS,TCP_PEERS,PKTS_PER_TCPFLOW,AVGLEN_IN_TCPFLOW,AVGLEN_OUT_TCPFLOW,UDP_FLOWS,UDP_PEERS,PKTS_PER_UDPFLOW,AVGLEN_IN_UDPFLOW,AVGLEN_OUT_UDPFLOW,ipsec_flows,ipsec_hosts,PKTS_PER_IPSECFLOW,AVGLEN_IN_IPSECFLOW,AVGLEN_OUT_IPSECFLOW,ipsec_outbps,ipsec_inBPS,dns_querys,dns_answers,dns_errs,syn_outcount,syn_inacks,syn_incount,syn_outacks,ICMP_INPPS,ICMP_OUTPPS,OTHERIP_INPPS,OTHERIP_OUTPPS,TTLSERVER_MAX,TTLSERVER_MIN,TTLSERVER_AVG,TTLCLIENT_MAX,TTLCLIENT_MIN,TTLCLIENT_AVG,HTTP_GETS,HTTP_POSTS,HTTP_FAILS,MAIL_SENT,MAIL_RECV,MEDIA_FLOWS,FTP_DOWNLOADS,FTP_UPLOADS,SYN_FROM_PEERS,SYN_TO_PEERS,RST_FROM_PEERS,RST_TO_PEERS,TCP_FROM_PEERS,TCP_TO_PEERS,UDP_FROM_PEERS,UDP_TO_PEERS,OTHERIP_FROM_PEERS,OTHERIP_TO_PEERS,DNS_FROM_PEERS,DNS_TO_PEERS,SYN_TO_PORT_PEERS,label
0,2015-2-18 09:07:00,149.171.126.9,63424,419128,61856,417864,1560,1264,77,1,110,115,700,24,1,8,119,97,0,0,0,0,0,0,0,0,0,0,0,0,152,154,0,0,0,0,1,0,0,3,2,2,32,0,12,6,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
1,2015-2-18 09:07:00,59.166.0.7,1721336,119672,1719560,117168,1776,2504,107,1,195,1014,102,48,1,5,94,133,0,0,0,0,0,0,0,42,21,0,214,214,0,0,0,0,0,0,3,2,2,1,0,0,36,0,16,8,0,0,6,6,0,1,1,1,1,1,1,1,0,0,1,1,1,0
2,2015-2-18 09:07:00,175.45.176.1,8336,12824,8312,12784,16,40,9,1,39,383,486,4,1,1,81,77,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,4,2,2,2,0,1,2,0,0,4,2,0,2,0,0,1,1,1,1,1,1,1,0,0,0,0,6,1
3,2015-2-18 09:07:00,149.171.126.16,5872,440,5840,440,24,0,2,1,48,718,91,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,1,3,2,2,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
4,2015-2-18 09:07:00,59.166.0.0,516296,70696,514976,69000,1312,1696,82,1,103,815,131,28,1,7,97,125,0,0,0,0,0,0,0,44,22,0,162,162,0,0,0,0,0,0,3,2,2,1,0,0,54,0,26,8,0,0,6,6,0,1,1,1,1,1,1,1,0,0,1,1,2,0
5,2015-2-18 09:07:00,149.171.126.8,108536,973888,107352,972976,1184,912,97,1,150,124,876,20,1,7,125,96,0,0,0,0,0,0,0,0,0,0,0,0,194,196,0,0,0,0,1,0,0,3,2,2,62,0,30,14,0,0,6,6,1,0,1,1,1,1,1,1,0,0,1,1,0,0
6,2015-2-18 09:07:00,149.171.126.6,118552,2011816,116464,2010240,2080,1568,88,1,250,100,1101,36,1,6,128,96,0,0,0,0,0,0,0,0,0,0,0,0,174,176,0,0,0,0,1,0,0,3,2,2,36,0,16,10,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
7,2015-2-18 09:07:00,149.171.126.4,67432,194256,65680,192992,1744,1264,62,1,90,171,489,32,1,6,132,95,0,0,0,0,0,0,0,0,0,0,0,0,128,130,0,0,0,0,1,0,0,3,2,2,36,0,16,12,0,0,2,2,1,0,1,1,1,1,1,1,0,0,1,1,0,0
8,2015-2-18 09:07:00,175.45.176.3,91744,5968,91744,5616,0,232,24,1,41,1017,122,6,1,1,0,285,0,0,0,0,0,0,0,0,0,0,48,48,0,0,0,0,0,0,4,2,2,2,0,0,16,0,0,2,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,5,1
9,2015-2-18 09:07:00,149.171.126.17,1232,648,1064,648,48,0,3,1,32,148,102,4,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,2,0,1,3,2,2,2,0,0,4,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
